Company,Year,Revenue,Broker,Broker_fee,Broker_fee_percentage,D&O Limit,E&O Limit,Price
3,1/1/2010,4668803,Broker A,4000,0.1,500000,100000,44000
7,1/1/2010,2294933,Broker A,4000,0.1,500000,100000,44000
12,1/1/2010,16208560,Broker A,8000,0.1,1500000,500000,88000
16,1/1/2010,15831845,Broker A,8000,0.1,1500000,500000,88000
18,1/1/2010,6843433,Broker A,4000,0.1,500000,100000,44000
19,1/1/2010,2150370,Broker A,4000,0.1,500000,100000,44000
24,1/1/2010,3887235,Broker A,4000,0.1,500000,100000,44000
25,1/1/2010,14581593,Broker A,5500,0.1,1000000,250000,60500
28,1/1/2010,9967263,Broker A,4000,0.1,500000,100000,44000
49,1/1/2010,8766419,Broker A,4000,0.1,500000,100000,44000
50,1/1/2010,13688741,Broker A,5500,0.1,1000000,250000,60500
66,1/1/2010,9241447,Broker A,4000,0.1,500000,100000,44000
68,1/1/2010,18993910,Broker A,8000,0.1,1500000,500000,88000
69,1/1/2010,4957328,Broker A,4000,0.1,500000,100000,44000
77,1/1/2010,7562442,Broker A,4000,0.1,500000,100000,44000
81,1/1/2010,1800028,Broker A,4000,0.1,500000,100000,44000
95,1/1/2010,3539505,Broker A,4000,0.1,500000,100000,44000
98,1/1/2010,1559325,Broker A,4000,0.1,500000,100000,44000
113,1/1/2010,14048472,Broker A,5500,0.1,1000000,250000,60500
125,1/1/2010,11338659,Broker A,5500,0.1,1000000,250000,60500
130,1/1/2010,11723877,Broker A,5500,0.1,1000000,250000,60500
137,1/1/2010,17101880,Broker A,8000,0.1,1500000,500000,88000
156,1/1/2010,1459163,Broker A,4000,0.1,500000,100000,44000
167,1/1/2010,13101593,Broker A,5500,0.1,1000000,250000,60500
169,1/1/2010,4707197,Broker A,4000,0.1,500000,100000,44000
172,1/1/2010,8435214,Broker A,4000,0.1,500000,100000,44000
188,1/1/2010,15437099,Broker A,8000,0.1,1500000,500000,88000
191,1/1/2010,11363622,Broker A,5500,0.1,1000000,250000,60500
198,1/1/2010,10680199,Broker A,5500,0.1,1000000,250000,60500
218,1/1/2010,17110510,Broker A,8000,0.1,1500000,500000,88000
234,1/1/2010,10333243,Broker A,5500,0.1,1000000,250000,60500
244,1/1/2010,1374938,Broker A,4000,0.1,500000,100000,44000
280,1/1/2010,2940249,Broker A,4000,0.1,500000,100000,44000
290,1/1/2010,6340000,Broker A,4000,0.1,500000,100000,44000
292,1/1/2010,15767810,Broker A,8000,0.1,1500000,500000,88000
295,1/1/2010,7568443,Broker A,4000,0.1,500000,100000,44000
309,1/1/2010,7294953,Broker A,4000,0.1,500000,100000,44000
312,1/1/2010,15289705,Broker A,8000,0.1,1500000,500000,88000
340,1/1/2010,14476364,Broker A,5500,0.1,1000000,250000,60500
360,1/1/2010,3391868,Broker A,4000,0.1,500000,100000,44000
383,1/1/2010,17631520,Broker A,8000,0.1,1500000,500000,88000
395,1/1/2010,5114284,Broker A,4000,0.1,500000,100000,44000
396,1/1/2010,15361158,Broker A,8000,0.1,1500000,500000,88000
399,1/1/2010,15468429,Broker A,8000,0.1,1500000,500000,88000
413,1/1/2010,15197208,Broker A,8000,0.1,1500000,500000,88000
420,1/1/2010,15346445,Broker A,8000,0.1,1500000,500000,88000
422,1/1/2010,18895566,Broker A,8000,0.1,1500000,500000,88000
429,1/1/2010,2518591,Broker A,4000,0.1,500000,100000,44000
448,1/1/2010,15727269,Broker A,8000,0.1,1500000,500000,88000
452,1/1/2010,19383298,Broker A,8000,0.1,1500000,500000,88000
459,1/1/2010,9771450,Broker A,4000,0.1,500000,100000,44000
464,1/1/2010,8989276,Broker A,4000,0.1,500000,100000,44000
473,1/1/2010,13199760,Broker A,5500,0.1,1000000,250000,60500
481,1/1/2010,2149458,Broker A,4000,0.1,500000,100000,44000
487,1/1/2010,10602731,Broker A,5500,0.1,1000000,250000,60500
493,1/1/2010,19697456,Broker A,8000,0.1,1500000,500000,88000
505,1/1/2010,10197841,Broker A,5500,0.1,1000000,250000,60500
515,1/1/2010,11514163,Broker A,5500,0.1,1000000,250000,60500
520,1/1/2010,10227568,Broker A,5500,0.1,1000000,250000,60500
523,1/1/2010,12997401,Broker A,5500,0.1,1000000,250000,60500
529,1/1/2010,12046437,Broker A,5500,0.1,1000000,250000,60500
531,1/1/2010,13032932,Broker A,5500,0.1,1000000,250000,60500
542,1/1/2010,13472817,Broker A,5500,0.1,1000000,250000,60500
544,1/1/2010,4170643,Broker A,4000,0.1,500000,100000,44000
565,1/1/2010,11439561,Broker A,5500,0.1,1000000,250000,60500
567,1/1/2010,14816177,Broker A,5500,0.1,1000000,250000,60500
574,1/1/2010,18402102,Broker A,8000,0.1,1500000,500000,88000
582,1/1/2010,19227978,Broker A,8000,0.1,1500000,500000,88000
595,1/1/2010,8905987,Broker A,4000,0.1,500000,100000,44000
601,1/1/2010,11867008,Broker A,5500,0.1,1000000,250000,60500
605,1/1/2010,14771386,Broker A,5500,0.1,1000000,250000,60500
611,1/1/2010,11398197,Broker A,5500,0.1,1000000,250000,60500
615,1/1/2010,4315638,Broker A,4000,0.1,500000,100000,44000
642,1/1/2010,17100587,Broker A,8000,0.1,1500000,500000,88000
644,1/1/2010,9877867,Broker A,4000,0.1,500000,100000,44000
655,1/1/2010,4408219,Broker A,4000,0.1,500000,100000,44000
661,1/1/2010,9506606,Broker A,4000,0.1,500000,100000,44000
680,1/1/2010,3679969,Broker A,4000,0.1,500000,100000,44000
685,1/1/2010,9059282,Broker A,4000,0.1,500000,100000,44000
694,1/1/2010,1408791,Broker A,4000,0.1,500000,100000,44000
704,1/1/2010,3144706,Broker A,4000,0.1,500000,100000,44000
708,1/1/2010,17177761,Broker A,8000,0.1,1500000,500000,88000
710,1/1/2010,13520436,Broker A,5500,0.1,1000000,250000,60500
721,1/1/2010,4080775,Broker A,4000,0.1,500000,100000,44000
724,1/1/2010,5869091,Broker A,4000,0.1,500000,100000,44000
754,1/1/2010,4625428,Broker A,4000,0.1,500000,100000,44000
765,1/1/2010,2600042,Broker A,4000,0.1,500000,100000,44000
776,1/1/2010,9205708,Broker A,4000,0.1,500000,100000,44000
782,1/1/2010,17190738,Broker A,8000,0.1,1500000,500000,88000
801,1/1/2010,11477426,Broker A,5500,0.1,1000000,250000,60500
809,1/1/2010,4556798,Broker A,4000,0.1,500000,100000,44000
820,1/1/2010,14503334,Broker A,5500,0.1,1000000,250000,60500
824,1/1/2010,2722640,Broker A,4000,0.1,500000,100000,44000
829,1/1/2010,15094305,Broker A,8000,0.1,1500000,500000,88000
852,1/1/2010,5195526,Broker A,4000,0.1,500000,100000,44000
853,1/1/2010,19478308,Broker A,8000,0.1,1500000,500000,88000
854,1/1/2010,15298236,Broker A,8000,0.1,1500000,500000,88000
872,1/1/2010,10081485,Broker A,5500,0.1,1000000,250000,60500
889,1/1/2010,17397707,Broker A,8000,0.1,1500000,500000,88000
896,1/1/2010,18668985,Broker A,8000,0.1,1500000,500000,88000
900,1/1/2010,13405117,Broker A,5500,0.1,1000000,250000,60500
920,1/1/2010,14881167,Broker A,5500,0.1,1000000,250000,60500
925,1/1/2010,13813390,Broker A,5500,0.1,1000000,250000,60500
934,1/1/2010,12429174,Broker A,5500,0.1,1000000,250000,60500
937,1/1/2010,19647659,Broker A,8000,0.1,1500000,500000,88000
959,1/1/2010,10055904,Broker A,5500,0.1,1000000,250000,60500
960,1/1/2010,14258738,Broker A,5500,0.1,1000000,250000,60500
971,1/1/2010,10388866,Broker A,5500,0.1,1000000,250000,60500
988,1/1/2010,11154795,Broker A,5500,0.1,1000000,250000,60500
1022,1/1/2010,19655331,Broker A,8000,0.1,1500000,500000,88000
1025,1/1/2010,7950287,Broker A,4000,0.1,500000,100000,44000
1034,1/1/2010,18016831,Broker A,8000,0.1,1500000,500000,88000
1036,1/1/2010,2260831,Broker A,4000,0.1,500000,100000,44000
1050,1/1/2010,12452383,Broker A,5500,0.1,1000000,250000,60500
1062,1/1/2010,16135225,Broker A,8000,0.1,1500000,500000,88000
1073,1/1/2010,7364771,Broker A,4000,0.1,500000,100000,44000
1074,1/1/2010,16286716,Broker A,8000,0.1,1500000,500000,88000
1078,1/1/2010,17605652,Broker A,8000,0.1,1500000,500000,88000
1092,1/1/2010,12864456,Broker A,5500,0.1,1000000,250000,60500
1097,1/1/2010,11716853,Broker A,5500,0.1,1000000,250000,60500
1099,1/1/2010,5448802,Broker A,4000,0.1,500000,100000,44000
1100,1/1/2010,13158313,Broker A,5500,0.1,1000000,250000,60500
1111,1/1/2010,18174100,Broker A,8000,0.1,1500000,500000,88000
1112,1/1/2010,4633045,Broker A,4000,0.1,500000,100000,44000
1113,1/1/2010,9954303,Broker A,4000,0.1,500000,100000,44000
1118,1/1/2010,17224079,Broker A,8000,0.1,1500000,500000,88000
1123,1/1/2010,17201004,Broker A,8000,0.1,1500000,500000,88000
1126,1/1/2010,15505092,Broker A,8000,0.1,1500000,500000,88000
1127,1/1/2010,5986369,Broker A,4000,0.1,500000,100000,44000
1142,1/1/2010,3538577,Broker A,4000,0.1,500000,100000,44000
1183,1/1/2010,13094012,Broker A,5500,0.1,1000000,250000,60500
1191,1/1/2010,15751506,Broker A,8000,0.1,1500000,500000,88000
1193,1/1/2010,15387652,Broker A,8000,0.1,1500000,500000,88000
1232,1/1/2010,17360116,Broker A,8000,0.1,1500000,500000,88000
1252,1/1/2010,7955580,Broker A,4000,0.1,500000,100000,44000
1267,1/1/2010,4989667,Broker A,4000,0.1,500000,100000,44000
1276,1/1/2010,13430942,Broker A,5500,0.1,1000000,250000,60500
1284,1/1/2010,2663035,Broker A,4000,0.1,500000,100000,44000
1294,1/1/2010,5681972,Broker A,4000,0.1,500000,100000,44000
1296,1/1/2010,14999186,Broker A,5500,0.1,1000000,250000,60500
1307,1/1/2010,12180839,Broker A,5500,0.1,1000000,250000,60500
1321,1/1/2010,1588140,Broker A,4000,0.1,500000,100000,44000
1324,1/1/2010,13718472,Broker A,5500,0.1,1000000,250000,60500
1328,1/1/2010,5561996,Broker A,4000,0.1,500000,100000,44000
1336,1/1/2010,19672112,Broker A,8000,0.1,1500000,500000,88000
1344,1/1/2010,10204261,Broker A,5500,0.1,1000000,250000,60500
1370,1/1/2010,3018318,Broker A,4000,0.1,500000,100000,44000
1371,1/1/2010,3463520,Broker A,4000,0.1,500000,100000,44000
1377,1/1/2010,18856545,Broker A,8000,0.1,1500000,500000,88000
1391,1/1/2010,8480888,Broker A,4000,0.1,500000,100000,44000
1438,1/1/2010,10521395,Broker A,5500,0.1,1000000,250000,60500
1444,1/1/2010,1929992,Broker A,4000,0.1,500000,100000,44000
1447,1/1/2010,15387770,Broker A,8000,0.1,1500000,500000,88000
1450,1/1/2010,1737994,Broker A,4000,0.1,500000,100000,44000
1459,1/1/2010,14454134,Broker A,5500,0.1,1000000,250000,60500
1461,1/1/2010,2964079,Broker A,4000,0.1,500000,100000,44000
1471,1/1/2010,11930206,Broker A,5500,0.1,1000000,250000,60500
1483,1/1/2010,8839186,Broker A,4000,0.1,500000,100000,44000
1497,1/1/2010,6764601,Broker A,4000,0.1,500000,100000,44000
1514,1/1/2010,19533741,Broker A,8000,0.1,1500000,500000,88000
1526,1/1/2010,9002842,Broker A,4000,0.1,500000,100000,44000
1533,1/1/2010,15839969,Broker A,8000,0.1,1500000,500000,88000
1547,1/1/2010,1016112,Broker A,4000,0.1,500000,100000,44000
1548,1/1/2010,4406139,Broker A,4000,0.1,500000,100000,44000
1610,1/1/2010,2253080,Broker A,4000,0.1,500000,100000,44000
1614,1/1/2010,10609373,Broker A,5500,0.1,1000000,250000,60500
1615,1/1/2010,11722297,Broker A,5500,0.1,1000000,250000,60500
1622,1/1/2010,13783137,Broker A,5500,0.1,1000000,250000,60500
1656,1/1/2010,9683486,Broker A,4000,0.1,500000,100000,44000
1661,1/1/2010,14600239,Broker A,5500,0.1,1000000,250000,60500
1664,1/1/2010,7086478,Broker A,4000,0.1,500000,100000,44000
1667,1/1/2010,9865552,Broker A,4000,0.1,500000,100000,44000
1684,1/1/2010,2026964,Broker A,4000,0.1,500000,100000,44000
1688,1/1/2010,15721618,Broker A,8000,0.1,1500000,500000,88000
1693,1/1/2010,18649362,Broker A,8000,0.1,1500000,500000,88000
1722,1/1/2010,9609929,Broker A,4000,0.1,500000,100000,44000
1723,1/1/2010,7874679,Broker A,4000,0.1,500000,100000,44000
1747,1/1/2010,2247230,Broker A,4000,0.1,500000,100000,44000
1759,1/1/2010,6033281,Broker A,4000,0.1,500000,100000,44000
1769,1/1/2010,7437386,Broker A,4000,0.1,500000,100000,44000
1774,1/1/2010,9586850,Broker A,4000,0.1,500000,100000,44000
1775,1/1/2010,14550767,Broker A,5500,0.1,1000000,250000,60500
1779,1/1/2010,3121016,Broker A,4000,0.1,500000,100000,44000
